"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544582,-42.0008730342082,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638569,-52.971260989256,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518001015,37.7738135764852,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895907,-37.3387475440844,3.86082290935876e-305,2.37086700158873e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567935,0.0447581299294202,37.2705374042637,4.92673245580755e-304,2.90440731734766e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075163,36.9471519148978,8.09231108208771e-299,4.58709541260803e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.055046085524653,36.8352639561711,5.03520683531232e-297,2.74847697551233e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.069361389322583,36.6909753183934,1.01726618411109e-294,5.354453221939e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898186,-36.4661327225907,3.81873143504702e-291,1.94070565136976e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938239,0.121636384406073,36.4540313413081,5.93856218011567e-291,2.91741764701816e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.2066708419761,0.0608219606307423,-36.2808238848641,3.24649821955572e-288,1.5434480890262e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600339355,0.0694013569941896,36.2707029432335,4.68797353191054e-288,2.15910480979055e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338577257,0.0499749029758702,-36.2228494299752,2.65984835177606e-287,1.18790439419623e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315031031,0.0535351847027431,36.1446992488132,4.50689778489197e-286,1.95360763393346e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200625218,0.0781715114729354,-36.1399178936216,5.35778353341663e-286,2.21230320942017e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.2876630415376,0.0909710037522485,36.1396808426041,5.40391610388969e-286,2.21230320942017e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587694994,0.0487932042517388,-35.788710820067,1.65485249252976e-280,6.5916800094334e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.92210584831,2.31778202055932,0.0656155292094829,35.3236809713081,2.54305707488824e-273,9.86304609729022e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021858,-2.3051528590294,0.0653960004274724,-35.2491412924547,3.53646850171687e-272,1.33642237893085e-269,"FERMT2","10979","fermitin family member 2"
"ENSG00000143799",1043.84682510942,-2.61747584698133,0.0743747823896549,-35.1930555341753,2.55367981602499e-271,9.40903328214408e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.8374350677056,0.0806594353570001,35.1779683944855,4.3440722586494e-271,1.56153504751158e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642135,0.126316442695775,35.1424932628334,1.51368681107182e-270,5.31159910037536e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01204014087113,0.0861136723498782,-34.9774903180678,4.94847109753733e-268,1.69605969850012e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.06906807218876,-34.9512940253643,1.23760619418519e-267,4.14541820225029e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470136,34.8366769554071,6.77554401264025e-266,2.21906594796204e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630841917,34.8299159162978,8.57647267234327e-266,2.74782726619554e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182833,34.2452170379769,5.13836406675758e-257,1.61125977906113e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754363,-34.2039042206924,2.11545038706609e-256,6.49531412595417e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807042,-33.8997479311385,6.7188789305634e-252,2.02087423833966e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.041806348600499,33.7243085224979,2.54545118042816e-249,7.50297189943005e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.061132127679759,33.6829252261101,1.02810293755143e-248,2.97101590071234e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961547204,0.0460243819592605,33.6071784047241,1.31769411300978e-247,3.73464919952656e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240161,-33.5341112503029,1.53477285999457e-246,4.26782686992451e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.7035465919333,0.0509601087578361,-33.4290219047334,5.19390786050613e-245,1.41755211200258e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001158032,-33.3239077682212,1.7398487622762e-243,4.66216201062303e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.07600921395054,-33.2839410961497,6.59322840134164e-243,1.73519643176738e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.0547035645119139,33.0977814365285,3.19851269772997e-240,8.27011932265688e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483189412,0.0522701778398972,32.9854403245993,1.3136911306864e-238,3.33813446276831e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.056796457954537,-32.94135865212,5.62520534705854e-238,1.40515722720252e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594734995,32.7383391854455,4.4495434814595e-235,1.0929561971625e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.05720946158247,0.0629925114453703,32.6580003619409,6.1693982737349e-234,1.490567078005e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085653,0.0389873664647893,32.6047852451015,3.50828510153885e-233,8.33953319781929e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469497e-233,2.28548149971769e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862865082,0.0428974821221959,32.3715649486175,6.89943141988851e-230,1.5888096916612e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480700878,-32.0544155435938,1.90535970643053e-225,4.32018328513433e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199115946,0.0759164041352458,31.7791921079593,1.25506730582099e-221,2.80260332624087e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130954274,0.0449230268065982,-31.7122734333097,1.05241788785163e-220,2.31500519868021e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473005,31.6113341764708,2.57952645964932e-219,5.59074425916349e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704428,31.5755460911266,7.99970833024965e-219,1.70869132422057e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777580259,0.137032426265837,31.5721460511072,8.90724413016588e-219,1.87535662843407e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.0474102568555269,31.4114289631476,1.41265544485539e-216,2.93235435863081e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619627,-31.3751518190578,4.41710004911776e-216,9.04155840609689e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409629776,31.3716617370135,4.92877345675586e-216,9.95072098707779e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139992718,0.0432786266468006,-30.7505460094252,1.20240107705307e-207,2.39472798292002e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854243808,0.06859105373417,30.6875084700658,8.35466517576473e-207,1.64174740480561e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019196,30.6666297651953,1.58631168030575e-206,3.0761923084666e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278285,-30.5292805152567,1.06537508803602e-204,2.03915559058114e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887576,-30.4088241725149,4.19913010100847e-203,7.93420249085421e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.33899351160355e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.0574719541070874,30.2794517298555,2.13754238015826e-201,3.93788744984656e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259586,-30.1352334724704,1.67481171912814e-199,3.0473302612976e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786287,-30.0569968334804,1.76884785986645e-198,3.17918045837948e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.10940184626064,-30.0096634209999,7.34104325635235e-198,1.30352163267616e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.52007282825454,0.0507616642849755,-29.9452913860519,5.06700387062054e-197,8.89017893395303e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680001687,0.112773759026449,-29.8265911241638,1.76651997413401e-195,3.06293780926906e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.051564923156631,29.8149196231898,2.50291232408612e-195,4.28929323632339e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544817,29.7021593738728,7.20107911094854e-194,1.21908423503009e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201234,29.7017969567186,7.27910250255447e-194,1.21908423503009e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.70836053260097,0.057594129565311,-29.6620601004781,2.3707935727968e-193,3.92592760403138e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112608,29.6103808090942,1.09851400239629e-192,1.79887770747961e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088418,-29.579508099212,2.74196632629083e-192,4.4407801886675e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.95677043075851,0.0663760811211296,29.4800536233466,5.1878499628617e-191,8.3107100818104e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183329817,0.0557716982088904,-29.4545779679399,1.0999843973889e-190,1.74317957513092e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458481148,-29.4445921079755,1.47655804420074e-190,2.31505451653516e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.105364403559756,-29.4263407761975,2.52835481408024e-190,3.92240981578049e-188,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375062,29.3531100696593,2.18081805468492e-189,3.34801005103607e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.74119412410088,0.0593370019850985,29.3441539991884,2.83730011001679e-189,4.31094113622963e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517701,29.1497600192532,8.41273252950089e-187,1.26517195938555e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831433,29.0450996897044,1.77448669756231e-185,2.64165504532053e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330929453,0.0520551632799779,-28.9624162964525,1.9579524869993e-184,2.88563037533957e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448319,-28.9326537792216,4.6388964435457e-184,6.76911443415609e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.0486375327335083,-28.848736455473,5.25520470128384e-183,7.59325557720796e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.1809878742049,0.0409964043182733,-28.8071086682718,1.74737916458425e-182,2.5002790415187e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.85633936536552,0.0644924712570442,28.7838150590757,3.42011533536347e-182,4.84669805890258e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.093436167795466,-28.7501965637599,9.00647321379017e-182,1.26416573547466e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.6137581642745,0.0561603398586656,-28.7348361554741,1.40128319741459e-181,1.94831243051852e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609593281,0.0513457658429147,-28.7302384474293,1.59943723052339e-181,2.20303793490222e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.082439127829417,28.7214673758128,2.05836700245461e-181,2.80890860020148e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302052,28.6078863178844,5.36043432743835e-180,7.24789735025564e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.042845376867932,-28.5957522156422,7.58767798490869e-180,1.01661089219622e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791473,-28.4493217297199,4.96814084857391e-178,6.59643782218759e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487004,28.4446019542225,5.68297280085061e-178,7.47818331597646e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816904,0.0530931788051738,28.3665604897306,5.2301668188088e-177,6.82143350226586e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351226,0.0724505356556411,28.3074730221484,2.79630988072174e-176,3.6150890370243e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840293,28.2741363319321,7.18932920159562e-176,9.21359424114055e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.0301253064275,0.0365228229247342,-28.2049749700446,5.0811717719526e-175,6.45571634267564e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709677,-28.2019640588113,5.53209469844088e-175,6.9685480056087e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805936,-28.1195845475762,5.64500035754581e-174,7.05050976860256e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536792,28.0352704905684,6.04059391057922e-173,7.48119941631231e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179046,-27.9348651225422,1.00678481504854e-171,1.23649955034878e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841445794,0.0952230065994039,27.8855762833534,3.99157446193633e-171,4.86180367107584e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.0844340380045339,27.8775640361241,4.9921487128322e-171,6.03067932210827e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798462152,-27.8678971566053,6.53815283443615e-171,7.83408914422114e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702904,27.8074527793922,3.52495005100695e-170,4.189573697721e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550507,-27.7146638456034,4.64845066222063e-169,5.48070926878461e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737939771,0.0770835743691411,27.6591660006266,2.16519900484989e-168,2.53259547091093e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895179,27.6420113823024,3.48151090045877e-168,4.04019745283161e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461025262,0.102927884463345,27.5035732543475,1.59110643180967e-166,1.83200989000085e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232787,-27.4669575015755,4.35860484872038e-166,4.97962157057682e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.063497154546851,-27.4390202305667,9.39453901888982e-166,1.06505166200306e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170307903,0.12460504811096,27.3907177503736,3.53780645395925e-165,3.98016729148485e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626782,-27.3631999558222,7.52223196974461e-165,8.39868596743152e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124097018,-27.3628785146624,7.58877530184845e-165,8.40927596982275e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500921,-27.3585778356664,8.53774309067058e-165,9.3902431097241e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525874,-27.3447361397147,1.2473354609246e-164,1.36172074245235e-162,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905101,27.2869764427254,6.05493783111384e-164,6.56159365845263e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268817e-164,6.76480532250352e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.1313694356951,0.0788327305720991,27.0366054838832,5.48949071183026e-161,5.86261696456191e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045888,-27.0326997212274,6.10171879427077e-161,6.46957781222752e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846759,1.14349478659973e-160,1.20377329749335e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026594,-26.8589364660655,6.63278235121081e-159,6.9329039923507e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751183808,0.0535105886137021,-26.8460420461574,9.38160184513514e-159,9.73704563335223e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343922895,0.0754066735931277,-26.8434256913492,1.00651912785627e-158,1.03734817526893e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598398,26.8166716709306,2.0653589881534e-158,2.113837553292e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.0510598841190663,-26.8038488588633,2.91410850462342e-158,2.96194007869931e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093579,26.7820894066191,5.2245786892087e-158,5.27396169325738e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517168,-26.6672613337319,1.12888645640028e-156,1.13180466628757e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328743,-26.6284944333363,3.17636687954634e-156,3.16306047775364e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877151,-26.6096898008764,5.24358146552934e-156,5.18657071402492e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.95768161788922e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560562,-26.5299995900878,4.37001752553825e-155,4.26525286697899e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182814,0.0415181804493308,26.4886213684219,1.31081166241415e-154,1.27096988688551e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870144,-26.4103059601988,1.04332687751017e-153,1.00500336736895e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236657,-26.3952464091689,1.55363482849638e-153,1.48684870794673e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431442,26.3897768217245,1.79527827128623e-153,1.7070200749817e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.32446365486612,0.0502228270275139,26.3717463403748,2.89070201984908e-153,2.73097220311126e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.0652353704809754,26.3653073416645,3.42646730970298e-153,3.21651434461163e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326172025,0.0638947453537343,26.2751381576971,3.69002687418455e-152,3.44200101719822e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193008525,0.0382024978411186,-26.2627311506676,5.11421310062256e-152,4.74045740106763e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339453,0.134086229283587,26.160116382838,7.56113412248448e-151,6.96474966857351e-149,"RIPOR3","140876","RIPOR family member 3"
